There is the log file : 
2019/1/3  11:29:6 => 185.126.229.14 => GET http://54.38.184.22:8000/ CODE 200 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 
2019/1/3  11:29:6 => 185.126.229.14 => GET http://54.38.184.22:8000/favicon.ico CODE 404 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 PAGE NOT FOUND
2019/1/3  11:29:9 => 185.126.229.14 => GET http://54.38.184.22:8000/.git/ CODE 200 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 
2019/1/3  11:29:10 => 185.126.229.14 => GET http://54.38.184.22:8000/.gitignore CODE 200 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 
2019/1/3  11:41:1 => 185.126.229.14 => GET http://54.38.184.22:8000/ CODE 200 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 
2019/1/3  11:41:3 => 185.126.229.14 => GET http://54.38.184.22:8000/.git/ CODE 200 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 
2019/1/3  11:41:37 => 185.126.229.14 => GET http://54.38.184.22:8000/ CODE 200 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 
2019/1/3  11:41:38 => 185.126.229.14 => GET http://54.38.184.22:8000/.git/ CODE 403 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 ACCESS FORBIDDEN
2019/1/3  11:41:39 => 185.126.229.14 => GET http://54.38.184.22:8000/.gitignore CODE 200 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 
2019/1/3  11:41:41 => 185.126.229.14 => GET http://54.38.184.22:8000/.git/ CODE 403 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 ACCESS FORBIDDEN
2019/1/3  11:41:43 => 185.126.229.14 => GET http://54.38.184.22:8000/.gitignore CODE 200 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 
2019/1/3  11:41:51 => 185.126.229.14 => GET http://54.38.184.22:8000/.gitignore CODE 200 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 
2019/1/3  11:42:3 => 185.126.229.14 => GET http://54.38.184.22:8000/.git/ CODE 403 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 ACCESS FORBIDDEN
